iter	Passed	Remaining
616	1700	1055
617	1703	1052
618	1706	1050
619	1709	1047
620	1711	1044
621	1714	1042
622	1717	1039
623	1719	1036
624	1721	1032
625	1724	1030
626	1727	1027
627	1730	1024
628	1732	1021
629	1735	1019
630	1738	1016
631	1741	1013
632	1743	1010
633	1746	1008
634	1749	1005
635	1752	1003
636	1755	1000
637	1758	998
638	1761	995
639	1764	992
640	1767	989
641	1770	987
642	1773	984
643	1776	982
644	1779	979
645	1782	977
646	1785	974
647	1788	971
648	1791	968
649	1793	965
650	1796	963
651	1799	960
652	1801	957
653	1804	954
654	1806	951
655	1809	948
656	1812	946
657	1814	943
658	1816	940
659	1819	937
660	1822	934
661	1824	931
662	1827	928
663	1829	925
664	1832	923
665	1835	920
666	1837	917
667	1840	914
668	1842	911
669	1845	908
670	1848	906
671	1850	903
672	1853	900
673	1856	897
674	1858	894
675	1861	892
676	1863	889
677	1866	886
678	1869	883
679	1871	880
680	1874	877
681	1876	875
682	1879	872
683	1882	869
684	1885	867
685	1887	864
686	1890	861
687	1893	858
688	1895	855
689	1897	852
690	1900	850
691	1903	847
692	1905	844
693	1908	841
694	1912	839
695	1915	836
696	1918	834
697	1921	831
698	1924	828
699	1926	825
700	1929	822
701	1931	820
702	1934	817
703	1937	814
704	1939	811
705	1942	808
706	1944	805
707	1947	803
708	1950	800
709	1952	797
710	1955	795
711	1958	792
712	1961	789
713	1963	786
714	1966	783
715	1968	780
716	1971	778
717	1974	775
718	1977	772
719	1979	769
720	1982	767
721	1985	764
722	1988	761
723	1991	759
724	1994	756
725	1996	753
726	1999	750
727	2003	748
728	2006	745
729	2009	743
730	2012	740
731	2014	737
732	2017	734
733	2019	732
734	2022	729
735	2025	726
736	2028	723
737	2031	721
738	2034	718
739	2037	715
740	2040	713
741	2042	710
742	2046	707
743	2048	705
744	2051	702
745	2054	699
746	2057	696
747	2060	694
748	2062	691
749	2065	688
750	2068	685
751	2071	683
752	2074	680
753	2077	677
754	2079	674
755	2083	672
756	2086	669
757	2089	666
758	2091	664
759	2093	661
760	2096	658
761	2098	655
762	2102	652
763	2104	650
764	2107	647
765	2109	644
766	2112	641
767	2114	638
768	2117	636
769	2120	633
770	2122	630
771	2125	627
772	2128	625
773	2131	622
774	2134	619
775	2137	616
776	2140	614
777	2142	611
778	2145	608
779	2148	605
780	2151	603
781	2153	600
782	2156	597
783	2159	594
784	2162	592
785	2164	589
786	2167	586
787	2169	583
788	2172	580
789	2175	578
790	2178	575
791	2181	572
792	2183	570
793	2187	567
794	2190	564
795	2192	561
796	2195	559
797	2198	556
798	2201	553
799	2204	551
800	2207	548
801	2210	545
802	2213	542
803	2215	540
804	2218	537
805	2221	534
806	2224	532
807	2227	529
808	2230	526
809	2233	523
810	2236	521
811	2238	518
812	2241	515
813	2243	512
814	2246	509
815	2249	507
816	2251	504
817	2255	501
818	2258	499
819	2260	496
820	2263	493
821	2266	490
822	2269	488
823	2272	485
824	2275	482
825	2277	479
826	2280	477
827	2283	474
828	2286	471
829	2289	468
830	2292	466
831	2295	463
832	2297	460
833	2300	457
834	2303	455
835	2306	452
836	2309	449
837	2311	446
838	2314	444
839	2317	441
840	2319	438
841	2322	435
842	2325	433
843	2328	430
844	2331	427
845	2333	424
846	2337	422
847	2340	419
848	2342	416
849	2345	413
850	2348	411
851	2350	408
852	2353	405
853	2356	402
854	2359	400
855	2362	397
856	2365	394
857	2368	391
858	2370	389
859	2373	386
860	2376	383
861	2379	380
862	2382	378
863	2385	375
864	2388	372
865	2390	369
866	2393	367
867	2396	364
868	2398	361
869	2401	358
870	2404	356
871	2407	353
872	2410	350
873	2413	347
874	2415	345
875	2418	342
876	2421	339
877	2424	336
878	2427	334
879	2430	331
880	2433	328
881	2435	325
882	2439	323
883	2441	320
884	2444	317
885	2447	314
886	2450	312
887	2453	309
888	2457	306
889	2460	304
890	2462	301
891	2465	298
892	2469	295
893	2472	293
894	2475	290
895	2478	287
896	2480	284
897	2483	282
898	2486	279
899	2489	276
900	2491	273
901	2494	271
902	2498	268
903	2501	265
904	2504	262
905	2507	260
906	2509	257
907	2512	254
908	2515	251
909	2517	248
910	2519	246
911	2522	243
912	2525	240
913	2527	237
914	2530	235
915	2533	232
916	2536	229
917	2539	226
918	2541	224
919	2544	221
920	2547	218
921	2549	215
922	2552	212
923	2555	210
924	2557	207
925	2560	204
926	2562	201
927	2565	199
928	2568	196
929	2571	193
930	2574	190
931	2577	188
932	2579	185
933	2583	182
934	2586	179
935	2589	177
936	2591	174
937	2594	171
938	2597	168
939	2600	165
940	2603	163
941	2605	160
942	2608	157
943	2610	154
944	2613	152
945	2615	149
946	2618	146
947	2621	143
948	2624	141
949	2627	138
950	2630	135
951	2632	132
952	2635	129
953	2638	127
954	2641	124
955	2644	121
956	2646	118
957	2649	116
958	2651	113
959	2655	110
960	2658	107
961	2661	105
962	2664	102
963	2666	99
964	2669	96
965	2672	94
966	2676	91
967	2678	88
968	2681	85
969	2684	83
970	2686	80
971	2689	77
972	2691	74
973	2694	71
974	2697	69
975	2699	66
976	2702	63
977	2705	60
978	2708	58
979	2710	55
980	2713	52
981	2716	49
982	2719	47
983	2722	44
984	2725	41
985	2728	38
986	2731	35
987	2734	33
988	2737	30
989	2740	27
990	2742	24
991	2745	22
992	2748	19
993	2751	16
994	2754	13
995	2758	11
996	2759	8
997	2762	5
998	2765	2
999	2767	0
